55.1,78.8,40.38,39.82,Attention
57.2,86,39.92,39.7,Attention
55.7,82.7,39.46,39.34,Attention
56.8,82.8,40.28,39.82,OK
51.9,86.1,39.06,39.62,OK
55.9,84.1,40.36,39.9,OK
55.5,85.4,40.24,39.76,OK
56.3,84.5,39.76,39.68,OK
52.3,85.1,39.9,39.64,OK
56.9,84.9,39.86,39.74,OK
54.3,83.9,39.84,39.8,OK
57,84.5,40.14,39.76,OK
52,86.2,39.9,39.58,OK
54.9,85.4,40.26,39.66,OK
56.9,86.7,40.48,40.1,OK
57.6,84.9,40.08,40,OK
57.3,87.4,40.5,39.94,OK
57.3,84.5,39.18,39.44,OK
56.7,83.8,40.16,39.76,OK
54.7,82.3,40.26,39.82,OK
57.4,85.6,39.92,39.84,OK
54.8,84.8,39.66,39.7,OK
57.5,85.1,40.1,39.68,OK
51.6,85.4,38.86,39.42,OK
57,87.2,40.42,40.02,OK
54.4,83.7,39.7,39.38,OK
54.4,82.6,39.54,39.42,OK
57.2,86.6,40.08,39.86,OK
53.9,82.7,39.56,39.42,OK
57.3,85.2,40.04,39.98,OK
56.7,85.1,39.86,39.86,OK
56.7,86.1,40.36,39.98,OK
54,83,39.74,39.38,OK
57.5,84.3,40.32,40.14,OK
54.9,83.4,39.92,39.58,OK
57,87.7,40.06,39.78,OK
55,84.2,39.84,39.54,OK
54.5,82.1,40.28,40.12,OK
51.9,84.9,39.9,39.78,OK
51.9,85.3,40.1,39.82,OK
52.6,85.2,39.7,39.62,OK
56.7,82.2,39.98,40.24,OK
56.1,84,39.88,39.68,OK
55.5,82.7,39.56,39.02,OK
57.1,83.3,40.3,39.94,OK
51.9,83.9,39.72,39.62,OK
54.7,83.8,40.1,39.52,OK
56.8,87.2,40.12,40.02,OK
55.5,85.5,39.72,39.58,OK
51.4,83.7,39.62,39.48,OK
51.5,85.1,39.06,39.3,OK
52.2,85.5,40.3,40.08,OK
57.1,85.2,40.14,39.8,OK
52.3,86.5,39.94,39.74,OK
52.4,85.5,39.8,39.6,OK
57.6,85.4,40.26,40.16,OK
54.8,84.7,39.7,39.54,OK
52.7,84.6,39.34,39.46,OK
57,85.1,40.14,40.08,OK
52.8,82.7,39.94,40.02,OK
57.1,85,40.26,39.78,OK
56.4,83.2,40.42,40.12,OK
52.2,84.5,39.36,39.52,OK
57.2,84.5,40.26,39.9,OK
56.5,83,40.08,39.92,OK
54.4,82.5,39.72,39.54,OK
57.3,85.1,39.86,39.52,OK
56.6,85.3,40.56,40.1,OK
52.5,84.5,39.26,39.5,OK
57.5,86,40.42,39.96,OK
56.8,84.8,40.66,40.08,OK
52.6,86.4,40.26,40.06,OK
54.1,84.6,40.02,39.78,OK
57,86.2,39.86,39.88,OK
51.3,83.2,39.9,39.9,OK
54.9,83,39.46,39.48,OK
57.9,85.6,40.04,39.94,OK
57.2,87.9,40.22,39.88,OK
56.5,85.7,40.22,39.94,OK
50.9,84.3,39.5,39.42,OK
57.4,84.8,39.68,39.68,OK
56.7,87.2,39.98,39.84,OK
54.6,84.2,39.4,39.86,OK
51.8,84.3,39.7,39.58,OK
51.9,86.2,39.68,39.88,OK
57,83.1,40.7,40.34,OK
52.7,86.3,39.92,39.94,OK
51.4,84.6,39.98,39.7,OK
57.3,85.6,40.56,40.12,OK
57.4,84.9,40.96,40.2,OK
57.5,84.3,40.74,40.1,OK
52.5,86.8,39.2,39.56,OK
54.7,82.9,39.5,39.52,OK
54.7,83.5,39.9,39.36,OK
56.2,83.1,40.08,39.54,OK
54.8,83.3,39.6,39.6,OK
58,84.4,39.94,39.78,OK
57.4,84.6,39.64,39.66,OK
57.6,85.9,40.36,39.94,OK
57,86.7,39.56,39.78,OK
56.3,84.5,40.22,39.68,OK
51.9,83.7,39.46,39.64,OK
57.2,83.7,40.18,39.74,OK
52.8,84.3,40.18,39.8,OK
56.8,86,40.6,39.96,OK
54.8,85.9,39.82,40,OK
56.8,85.2,39.84,39.7,OK
51.5,85.8,39.18,39.22,OK
54.6,85.4,39.98,39.46,OK
53.9,85.4,40.04,39.62,OK
57.9,85.4,40,39.68,OK
57.2,83.3,40.18,40.16,OK
57.6,85.5,40.42,40.2,OK
53.6,83,39.92,39.42,OK
51.3,83.1,40.08,40.14,OK
55.3,84.1,39.96,39.76,OK
50.2,84.7,39.52,39.58,OK
55.5,87,40.3,40.12,OUT
